"","Player","Team","Age","Overall"
"1","Eden Hazard","Chelsea",26,90
"2","David De Gea Quintana","Manchester United",26,90
"3","Thibaut Courtois","Chelsea",25,89
"4","Alexis Sánchez","Arsenal",28,89
"5","Kevin De Bruyne","Manchester City",26,89
"6","Sergio Agüero","Manchester City",29,89
"7","Mesut Özil","Arsenal",28,88
"8","Hugo Lloris","Tottenham Hotspur",30,88
"9","N'Golo Kanté","Chelsea",26,87
"10","David Josué Jimenez Silva","Manchester City",31,87
"11","Paul Pogba","Manchester United",24,87
"12","Christian Eriksen","Tottenham Hotspur",25,87
"13","Petr Čech","Arsenal",35,86
"14","Francesc Fàbregas i Soler","Chelsea",30,86
"15","David Luiz Moreira Marinho","Chelsea",30,86
"16","Diego da Silva Costa","Chelsea",28,86
"17","Philippe Coutinho Correia","Liverpool",25,86
"18","Romelu Lukaku","Manchester United",24,86
"19","Toby Alderweireld","Tottenham Hotspur",28,86
"20","Harry Kane","Tottenham Hotspur",23,86
"21","Alexandre Lacazette","Arsenal",26,85
"22","César Azpilicueta Tanco","Chelsea",27,85
"23","Vincent Kompany","Manchester City",31,85
"24","İlkay Gündoğan","Manchester City",26,85
"25","Henrikh Mkhitaryan","Manchester United",28,85
"26","Jan Vertonghen","Tottenham Hotspur",30,85
"27","Shkodran Mustafi","Arsenal",25,84
"28","Laurent Koscielny","Arsenal",31,84
"29","Gary Cahill","Chelsea",31,84
"30","Pedro Rodríguez Ledesma","Chelsea",29,84
"31","Álvaro Borja Morata Martín","Chelsea",24,84
"32","Willian Borges da Silva","Chelsea",28,84
"33","Sadio Mané","Liverpool",25,84
"34","Bernardo Mota Carvalho e Silva","Manchester City",22,84
"35","Eric Bailly","Manchester United",23,84
"36","Juan Manuel Mata García","Manchester United",29,84
"37","Ander Herrera Agüera","Manchester United",27,84
"38","Dele Alli","Tottenham Hotspur",21,84
"39","Santiago Cazorla González","Arsenal",32,83
"40","Idrissa Gueye","Everton",27,83
"41","Morgan Schneiderlin","Everton",27,83
"42","Kasper Schmeichel","Leicester City",30,83
"43","Joel Matip","Liverpool",25,83
"44","Mohamed Salah","Liverpool",25,83
"45","Roberto Firmino Barbosa de Oliveira","Liverpool",25,83
"46","Adam Lallana","Liverpool",29,83
"47","Ederson Santana de Moraes","Manchester City",23,83
"48","Kyle Walker","Manchester City",27,83
"49","Nicolás Otamendi","Manchester City",29,83
"50","Yaya Touré","Manchester City",34,83
"51","Antonio Valencia","Manchester United",31,83
"52","Nemanja Matić","Manchester United",28,83
"53","Virgil van Dijk","Southampton",25,83
"54","Riyad Mahrez","Leicester City",26,83
"55","Aaron Ramsey","Arsenal",26,82
"56","Granit Xhaka","Arsenal",24,82
"57","Olivier Giroud","Arsenal",30,82
"58","Jordan Henderson","Liverpool",27,82
"59","Tiémoué Bakayoko","Chelsea",22,82
"60","Antonio Rüdiger","Chelsea",24,82
"61","Ashley Williams","Everton",32,82
"62","Leighton Baines","Everton",32,82
"63","Davy Klaassen","Everton",24,82
"64","Gylfi Sigurðsson","Everton",27,82
"65","Joe Hart","West Ham United
Jun 30, ",30,82
"66","Nathaniel Clyne","Liverpool",26,82
"67","Georginio Wijnaldum","Liverpool",26,82
"68","Daniel Sturridge","Liverpool",27,82
"69","Fernando Luiz Rosa","Manchester City",32,82
"70","Raheem Sterling","Manchester City",22,82
"71","Claudio Bravo","Manchester City",34,82
"72","Leroy Sané","Manchester City",21,82
"73","Anthony Martial","Manchester United",21,82
"74","Marcos Rojo","Manchester United",27,82
"75","Victor Wanyama","Tottenham Hotspur",26,82
"76","Moussa Dembélé","Tottenham Hotspur",29,82
"77","Heung Min Son","Tottenham Hotspur",24,82
"78","Eric Dier","Tottenham Hotspur",23,82
"79","Danny Rose","Tottenham Hotspur",26,82
"80","Marko Arnautović","West Ham United",28,82
"81","Javier Hernández","West Ham United",29,82
"82","Vicente Iborra de la Fuente","Leicester City",29,82
"83","Islam Slimani","Leicester City",29,82
"84","Xherdan Shaqiri","Stoke City",25,82
"85","Asmir Begović","Bournemouth",30,82
"86","Roque Mesa Quevedo","Swansea City",28,82
"87","Héctor Bellerín Moruno","Arsenal",22,81
"88","Per Mertesacker","Arsenal",32,81
"89","Jack Wilshere","Arsenal",25,81
"90","Lucas Pérez Martínez","Arsenal",28,81
"91","Marcos Alonso Mendoza","Chelsea",26,81
"92","Andreas Christensen","Chelsea",21,81
"93","Michael Keane","Everton",24,81
