"","Player","Team","Age","Overall"
"1","Virgil van Dijk","Liverpool",27,91
"2","Kevin De Bruyne","Manchester City",28,91
"3","Alisson Ramses Becker","Liverpool",26,90
"4","Mohamed Salah","Liverpool",27,90
"5","Sadio Mané","Liverpool",27,90
"6","Sergio Agüero","Manchester City",31,90
"7","N'Golo Kanté","Chelsea",28,89
"8","Harry Kane","Tottenham Hotspur",25,89
"9","Pierre-Emerick Aubameyang","Arsenal",30,88
"10","Roberto Firmino Barbosa de Oliveira","Liverpool",27,88
"11","Ederson Santana de Moraes","Manchester City",25,88
"12","Raheem Sterling","Manchester City",24,88
"13","David De Gea Quintana","Manchester United",28,88
"14","David Josué Jiménez Silva","Manchester City",33,87
"15","Aymeric Laporte","Manchester City",25,87
"16","Bernardo Mota Carvalho e Silva","Manchester City",24,87
"17","Paul Pogba","Manchester United",26,87
"18","Hugo Lloris","Tottenham Hotspur",32,87
"19","Heung Min Son","Tottenham Hotspur",26,87
"20","Andrew Robertson","Liverpool",25,86
"21","Fábio Henrique Tavares","Liverpool",25,86
"22","Riyad Mahrez","Manchester City",28,86
"23","Leroy Sané","Manchester City",23,86
"24","Bruno Miguel Borges Fernandes","Manchester United",24,86
"25","Toby Alderweireld","Tottenham Hotspur",30,86
"26","Jamie Vardy","Leicester City",32,86
"27","Bernd Leno","Arsenal",27,85
"28","Trent Alexander-Arnold","Liverpool",20,85
"29","Jordan Henderson","Liverpool",29,85
"30","Georginio Wijnaldum","Liverpool",28,85
"31","Fernando Luiz Rosa","Manchester City",34,85
"32","Rodrigo Hernández Cascante","Manchester City",23,85
"33","Jan Vertonghen","Tottenham Hotspur",32,85
"34","Alexandre Lacazette","Arsenal",28,84
"35","César Azpilicueta Tanco","Chelsea",29,84
"36","Luiz Frello Filho Jorge","Chelsea",27,84
"37","Mateo Kovačić","Chelsea",25,84
"38","İlkay Gündoğan","Manchester City",28,84
"39","Marcus Rashford","Manchester United",21,84
"40","Ricardo Barbosa Pereira","Leicester City",25,84
"41","Wilfred Ndidi","Leicester City",22,84
"42","João Filipe Moutinho","Wolverhampton Wanderers",32,84
"43","Mesut Özil","Arsenal",30,83
"44","Kepa Arrizabalaga","Chelsea",24,83
"45","Lucas Digne","Everton",25,83
"46","Joel Matip","Liverpool",27,83
"47","Kyle Walker","Manchester City",29,83
"48","Harry Maguire","Manchester United",26,83
"49","Anthony Martial","Manchester United",23,83
"50","Dele Alli","Tottenham Hotspur",23,83
"51","Kasper Schmeichel","Leicester City",32,83
"52","Rui Pedro dos Santos Patrício","Wolverhampton Wanderers",31,83
"53","Raúl Jiménez","Wolverhampton Wanderers",28,83
"54","Wilfried Zaha","Crystal Palace",26,83
"55","Nicolas Pépé","Arsenal",24,82
"56","Antonio Rüdiger","Chelsea",26,82
"57","Willian Borges da Silva","Chelsea",30,82
"58","Joe Gomez","Liverpool",22,82
"59","Naby Keïta","Liverpool",24,82
"60","João Pedro Cavaco Cancelo","Manchester City",25,82
"61","Gabriel Fernando de Jesus","Manchester City",22,82
"62","Aaron Wan-Bissaka","Manchester United",21,82
"63","Martin Dúbravka","Newcastle United",30,82
"64","Davinson Sánchez","Tottenham Hotspur",23,82
"65","Giovani Lo Celso","Tottenham Hotspur
Jun 30, ",23,82
"66","Steven Bergwijn","Tottenham Hotspur",21,82
"67","Lucas Rodrigues M. Silva","Tottenham Hotspur",26,82
"68","Sébastien Haller","West Ham United",25,82
"69","Felipe Anderson Pereira Gomes","West Ham United",26,82
"70","James Maddison","Leicester City",22,82
"71","Rúben Diogo da Silva Neves","Wolverhampton Wanderers",22,82
"72","David Luiz Moreira Marinho","Arsenal",32,81
"73","Daniel Ceballos Fernández","Arsenal
Jun 30, ",22,81
"74","Sokratis Papastathopoulos","Arsenal",31,81
"75","Lucas Torreira","Arsenal",23,81
"76","Kurt Zouma","Chelsea",24,81
"77","Marcos Alonso Mendoza","Chelsea",28,81
"78","Jordan Pickford","Everton",25,81
"79","Richarlison de Andrade","Everton",22,81
"80","James Milner","Liverpool",33,81
"81","Xherdan Shaqiri","Liverpool",27,81
"82","John Stones","Manchester City",25,81
"83","Victor Lindelöf","Manchester United",24,81
"84","Łukasz Fabiański","West Ham United",34,81
"85","Tomáš Souček","West Ham United",24,81
"86","Ben Chilwell","Leicester City",22,81
"87","Youri Tielemans","Leicester City",22,81
"88","Gerard Deulofeu Lázaro","Watford",25,81
"89","Granit Xhaka","Arsenal",26,80
"90","José Manuel Reina Páez","Aston Villa
Jun 30, ",36,80
"91","Jack Grealish","Aston Villa",23,80
"92","Olivier Giroud","Chelsea",32,80
"93","Pedro Rodríguez Ledesma","Chelsea",31,80
"94","Andreas Christensen","Chelsea",23,80
"95","Christian Pulisic","Chelsea",20,80
"96","Gylfi Sigurðsson","Everton",29,80
"97","André Filipe Tavares Gomes","Everton",25,80
"98","Alex Oxlade-Chamberlain","Liverpool",25,80
"99","Dejan Lovren","Liverpool",29,80
"100","Nicolás Otamendi","Manchester City",31,80
"101","Benjamin Mendy","Manchester City",24,80
"102","Luke Shaw","Manchester United",23,80
"103","Frederico R. de Paula Santos","Manchester United",26,80
"104","Nemanja Matić","Manchester United",30,80
"105","Sergio Romero","Manchester United",32,80
"106","Juan Manuel Mata García","Manchester United",31,80
"107","Eric Bailly","Manchester United",25,80
"108","Allan Saint-Maximin","Newcastle United",22,80
"109","Harry Winks","Tottenham Hotspur",23,80
"110","Erik Lamela","Tottenham Hotspur",27,80
"111","Tanguy Ndombele","Tottenham Hotspur",22,80
"112","Jonny Evans","Leicester City",31,80
"113","Çağlar Söyüncü","Leicester City",23,80
"114","Matt Doherty","Wolverhampton Wanderers",27,80
"115","Willy Boly","Wolverhampton Wanderers",28,80
"116","Diogo José Teixeira da Silva","Wolverhampton Wanderers",22,80
"117","Ben Foster","Watford",36,80
"118","Abdoulaye Doucouré","Watford",26,80
"119","Nick Pope","Burnley",27,80
"120","James Tarkowski","Burnley",26,80
"121","Vicente Guaita Panadero","Crystal Palace",32,80
"122","Mathew Ryan","Brighton & Hove Albion",27,80
"123","Nathan Aké","Bournemouth",24,80
"124","Héctor Bellerín Moruno","Arsenal",24,79
"125","Shkodran Mustafi","Arsenal",27,79
"126","Mason Mount","Chelsea",20,79
"127","Tammy Abraham","Chelsea",21,79
"128","Ross Barkley","Chelsea",25,79
"129","Michy Batshuayi","Chelsea",25,79
"130","Ruben Loftus-Cheek","Chelsea",23,79
"131","Yerry Mina","Everton",24,79
"132","Dominic Calvert-Lewin","Everton",22,79
"133","Michael Keane","Everton",26,79
"134","Jean-Philippe Gbamin","Everton",23,79
"135","Oleksandr Zinchenko","Manchester City",22,79
"136","Scott McTominay","Manchester United",22,79
"137","Fabian Schär","Newcastle United",27,79
"138","James Ward-Prowse","Southampton",24,79
"139","Pierre-Emile Højbjerg","Southampton",23,79
"140","Danny Ings","Southampton",26,79
"141","Serge Aurier","Tottenham Hotspur",26,79
"142","Ben Davies","Tottenham Hotspur",26,79
"143","Moussa Sissoko","Tottenham Hotspur",29,79
"144","Pablo Fornals Malla","West Ham United",23,79
"145","Manuel Lanzini","West Ham United",26,79
"146","Jonathan Castro Otto","Wolverhampton Wanderers",25,79
"147","Leander Dendoncker","Wolverhampton Wanderers",24,79
"148","Dean Henderson","Sheffield United
Jun 30, ",22,79
"149","Sander Berge","Sheffield United",21,79
