"","Player","Team","Age","Overall"
"129","Davide Zappacosta","Chelsea",27,79
"130","Wesley Moraes Ferreira da Silva","Aston Villa",22,79
"131","Christian Pulisic","Chelsea",20,79
"132","Ross Barkley","Chelsea",25,79
"133","Ruben Loftus-Cheek","Chelsea",23,79
"134","Michy Batshuayi","Chelsea",25,79
"135","Séamus Coleman","Everton",30,79
"136","Jean-Philippe Gbamin","Everton",23,79
"137","Richarlison de Andrade","Everton",22,79
"138","Alex Iwobi","Everton",23,79
"139","Nick Pope","Burnley",27,79
"140","James Tarkowski","Burnley",26,79
"141","Adam Lallana","Liverpool",31,79
"142","Jefferson Lerma","Bournemouth",24,79
"143","José Ángel Esmoris Tasende","Manchester City",22,79
"144","Aaron Wan-Bissaka","Manchester United",21,79
"145","Phil Jones","Manchester United",27,79
"146","Frederico R. de Paula Santos","Manchester United",26,79
"147","Fabian Schär","Newcastle United",27,79
"148","Allan Saint-Maximin","Newcastle United",22,79
"149","James Ward-Prowse","Southampton",24,79
"150","Ben Davies","Tottenham Hotspur",26,79
"151","Eric Dier","Tottenham Hotspur",25,79
"152","Serge Aurier","Tottenham Hotspur",26,79
"153","Fabián Balbuena","West Ham United",27,79
"154","Jack Wilshere","West Ham United",27,79
"155","Andriy Yarmolenko","West Ham United",29,79
"156","Jonny Evans","Leicester City",31,79
"157","Ben Chilwell","Leicester City",22,79
"158","James Maddison","Leicester City",22,79
"159","Willy Boly","Wolverhampton Wanderers",28,79
"160","Jonathan Castro Otto","Wolverhampton Wanderers",25,79
"161","Vicente Guaita Panadero","Crystal Palace",32,79
"162","Mamadou Sakho","Crystal Palace",29,79
"163","Leandro Trossard","Brighton & Hove Albion",24,79
"164","Joshua King","Bournemouth",27,79
"165","Florian Lejeune","Newcastle United",28,78
"166","Ryan Bertrand","Southampton",29,78
"167","Yerry Mina","Everton",24,78
"168","Kevin Mirallas","Everton",31,78
"169","Divock Origi","Liverpool",24,78
"170","Nathaniel Clyne","Liverpool",28,78
"171","James Tomkins","Crystal Palace",30,78
"172","Oleksandr Zinchenko","Manchester City",22,78
"173","Marcos Rojo","Manchester United",29,78
"174","Jamaal Lascelles","Newcastle United",25,78
"175","Joelinton Apolinário de Lira","Newcastle United",22,78
"176","Jannik Vestergaard","Southampton",26,78
"177","Mario Lemina","Southampton",25,78
"178","Victor Wanyama","Tottenham Hotspur",28,78
"179","Issa Diop","West Ham United",22,78
"180","Declan Rice","West Ham United",20,78
"181","Javier Hernández","West Ham United",31,78
"182","Michail Antonio","West Ham United",29,78
"183","Ayoze Pérez Gutiérrez","Leicester City",25,78
"184","Adrien S. Perruchet Silva","Leicester City",30,78
"185","Matt Doherty","Wolverhampton Wanderers",27,78
"186","Leander Dendoncker","Wolverhampton Wanderers",24,78
"187","Ibrahim Amadou","Norwich City
Jun 30, ",26,78
"188","Jose Holebas","Watford",35,78
"189","Troy Deeney","Watford",31,78
"190","Christian Kabasele","Watford",28,78
"191","Ismaïla Sarr","Watford",21,78
"192","Danny Welbeck","Watford",28,78
"193","Ben Mee","Burnley",29,78
"194","Jóhann Berg Guðmundsson","Burnley",28,78
"195","Ashley Barnes","Burnley",29,78
"196","Steven Defour","Burnley",31,78
"197","Andros Townsend","Crystal Palace",27,78
"198","Max Meyer","Crystal Palace",23,78
"199","Shane Duffy","Brighton & Hove Albion",27,78
"200","Lewis Dunk","Brighton & Hove Albion",27,78
"201","Pascal Groß","Brighton & Hove Albion",28,78
"202","Steve Cook","Bournemouth",28,78
"203","Mohamed Elneny","Arsenal",26,77
"204","Mahmoud Hassan","Aston Villa",24,77
"205","Jack Grealish","Aston Villa",23,77
"206","Emerson Palmieri dos Santos","Chelsea",24,77
"207","Angelo Ogbonna","West Ham United",31,77
"208","Marco van Ginkel","Chelsea",26,77
"209","Dominic Calvert-Lewin","Everton",22,77
"210","Theo Walcott","Everton",30,77
"211","Djibril Sidibé","Everton
Jun 30, ",26,77
"212","Morgan Schneiderlin","Everton",29,77
"213","Fabian Delph","Everton",29,77
"214","Cenk Tosun","Everton",28,77
"215","Claudio Bravo","Manchester City",36,77
"216","Scott McTominay","Manchester United",22,77
"217","Andreas Hugo Hoelgebaum Pereira","Manchester United",23,77
"218","Ashley Young","Manchester United",33,77
"219","Jonjo Shelvey","Newcastle United",27,77
"220","Jan Bednarek","Southampton",23,77
"221","Pierre-Emile Højbjerg","Southampton",23,77
"222","Nathan Redmond","Southampton",25,77
"223","Sofiane Boufal","Southampton",25,77
"224","Roberto Jiménez Gago","West Ham United",33,77
"225","Conor Coady","Wolverhampton Wanderers",26,77
"226","Patrick Cutrone","Wolverhampton Wanderers",21,77
"227","Romain Saïss","Wolverhampton Wanderers",29,77
"228","Jesús Vallejo Lázaro","Wolverhampton Wanderers
Jun 30, ",22,77
"229","Teemu Pukki","Norwich City",29,77
"230","Will Hughes","Watford",24,77
"231","Daryl Janmaat","Watford",29,77
"232","Ashley Westwood","Burnley",29,77
"233","Chris Wood","Burnley",27,77
"234","Joe Hart","Burnley",32,77
"235","Danny Drinkwater","Burnley
Jan 6, ",29,77
"236","Gary Cahill","Crystal Palace",33,77
"237","Davy Pröpper","Brighton & Hove Albion",27,77
"238","Glenn Murray","Brighton & Hove Albion",35,77
"239","David Brooks","Bournemouth",21,77
"240","Lewis Cook","Bournemouth",22,77
"241","Rob Holding","Arsenal",23,76
"242","Kieran Tierney","Arsenal",22,76
"243","Björn Engels","Aston Villa",24,76
"244","Frédéric Guilbert","Aston Villa",24,76
"245","Marvelous Nakamba","Aston Villa",25,76
"246","Federico Fernández","Newcastle United",30,76
"247","Sung Yueng Ki","Newcastle United",30,76
"248","Angus Gunn","Southampton",23,76
"249","Alex McCarthy","Southampton",29,76
"250","Tammy Abraham","Chelsea",21,76
"251","Robert Snodgrass","West Ham United",31,76
"252","Winston Reid","West Ham United",30,76
"253","Moise Kean","Everton",19,76
"254","Ravel Morrison","Sheffield United",26,76
"255","Tom Cleverley","Watford",29,76
"256","Jack Cork","Burnley",30,76
"257","Adrián San Miguel Castillo","Liverpool",32,76
"258","Cheikhou Kouyaté","Crystal Palace",29,76
"259","Phil Foden","Manchester City",19,76
"260","DeAndre Yedlin","Newcastle United",25,76
"261","Isaac Hayden","Newcastle United",24,76
"262","Dwight Gayle","Newcastle United",28,76
"263","Oriol Romeu Vidal","Southampton",27,76
"264","Danny Ings","Southampton",26,76
"265","Cédric Ricardo Alves Soares","Southampton",27,76
"266","Mohamed Elyounoussi","Southampton",24,76
"267","Aaron Cresswell","West Ham United",29,76
"268","Mark Noble","West Ham United",32,76
"269","Arthur Masuaku","West Ham United",25,76
"270","Marc Albrighton","Leicester City",29,76
"271","Dennis Praet","Leicester City",25,76
"272","Filip Benković","Leicester City",21,76
"273","Phil Jagielka","Sheffield United",36,76
"274","Francisco Femenía Far","Watford",28,76
"275","Craig Cathcart","Watford",30,76
"276","Andre Gray","Watford",28,76
"277","Heurelho Silva Gomes","Watford",38,76
"278","Robbie Brady","Burnley",27,76
"279","Charlie Taylor","Burnley",25,76
"280","Jay Rodriguez","Burnley",29,76
"281","Patrick van Aanholt","Crystal Palace",28,76
"282","James McArthur","Crystal Palace",31,76
"283","Víctor Camarasa Ferrando","Crystal Palace
Jun 30, ",25,76
"284","Martín Montoya Torralbo","Brighton & Hove Albion",28,76
"285","Dale Stephens","Brighton & Hove Albion",30,76
"286","Jürgen Locadia","Brighton & Hove Albion",25,76
"287","Florin Andone","Brighton & Hove Albion",26,76
"288","Aaron Mooy","Brighton & Hove Albion
Jun 30, ",28,76
"289","José Izquierdo","Brighton & Hove Albion",26,76
"290","Adam Smith","Bournemouth",28,76
"291","Arnaut Danjuma Groeneveld","Bournemouth",22,76
"292","Ainsley Maitland-Niles","Arsenal",21,75
"293","Mattéo Guendouzi","Arsenal",20,75
"294","Lovre Kalinić","Aston Villa",29,75
"295","Emiliano Martínez","Arsenal",26,75
"296","Calum Chambers","Arsenal",24,75
"297","Willy Caballero","Chelsea",37,75
"298","Tom Davies","Everton",21,75
"299","John McGinn","Aston Villa",24,75
"300","Mason Mount","Chelsea",20,75
"301","Maya Yoshida","Southampton",30,75
"302","Paulo Gazzaniga","Tottenham Hotspur",27,75
"303","Robert Kenedy Nunes do Nascimento","Chelsea",23,75
"304","Nampalys Mendy","Leicester City",27,75
"305","Leighton Baines","Everton",34,75
