"","Player","Team","Age","Overall"
"1","David De Gea Quintana","Manchester United",25,90
"2","Zlatan Ibrahimović","Manchester United",34,90
"3","Mesut Özil","Arsenal",27,89
"4","Thibaut Courtois","Chelsea",24,89
"5","Sergio Agüero","Manchester City",28,89
"6","Petr Čech","Arsenal",34,88
"7","Eden Hazard","Chelsea",25,88
"8","Kevin De Bruyne","Manchester City",25,88
"9","Paul Pogba","Manchester United",23,88
"10","Hugo Lloris","Tottenham Hotspur",29,88
"11","Alexis Sánchez","Arsenal",27,87
"12","David Josué Jimenez Silva","Manchester City",30,87
"13","Santiago Cazorla González","Arsenal",31,86
"14","Francesc Fàbregas i Soler","Chelsea",29,86
"15","Vincent Kompany","Manchester City",30,86
"16","Dimitri Payet","West Ham United",29,86
"17","Laurent Koscielny","Arsenal",30,85
"18","Willian Borges da Silva","Chelsea",27,85
"19","Diego da Silva Costa","Chelsea",27,85
"20","Philippe Coutinho Correia","Liverpool",24,85
"21","Nicolás Otamendi","Manchester City",28,85
"22","İlkay Gündoğan","Manchester City",25,85
"23","Henrikh Mkhitaryan","Manchester United",27,85
"24","Toby Alderweireld","Tottenham Hotspur",27,85
"25","Riyad Mahrez","Leicester City",25,85
"26","Steve Mandanda","Crystal Palace",31,85
"27","Granit Xhaka","Arsenal",23,84
"28","Aaron Ramsey","Arsenal",25,84
"29","Nemanja Matić","Chelsea",27,84
"30","John Terry","Chelsea",35,84
"31","César Azpilicueta Tanco","Chelsea",26,84
"32","Romelu Lukaku","Everton",23,84
"33","Daniel Sturridge","Liverpool",26,84
"34","Yaya Touré","Manchester City",33,84
"35","Joe Hart","Manchester City",29,84
"36","Chris Smalling","Manchester United",26,84
"37","Wayne Rooney","Manchester United",30,84
"38","Juan Manuel Mata García","Manchester United",28,84
"39","Christian Eriksen","Tottenham Hotspur",24,84
"40","Harry Kane","Tottenham Hotspur",22,84
"41","Olivier Giroud","Arsenal",29,83
"42","Per Mertesacker","Arsenal",31,83
"43","Oscar dos Santos Emboaba","Chelsea",24,83
"44","Gary Cahill","Chelsea",30,83
"45","Pedro Rodríguez Ledesma","Chelsea",28,83
"46","Asmir Begović","Chelsea",29,83
"47","Ashley Williams","Everton",31,83
"48","Leighton Baines","Everton",31,83
"49","Manuel Agudo Durán","Manchester City",29,83
"50","José Miguel da Rocha Fonte","Southampton",32,83
"51","Bastian Schweinsteiger","Manchester United",31,83
"52","Jan Vertonghen","Tottenham Hotspur",29,83
"53","Jack Wilshere","Arsenal",24,82
"54","Juan Cuadrado","Chelsea",28,82
"55","Séamus Coleman","Everton",27,82
"56","Phil Jagielka","Everton",33,82
"57","Dejan Lovren","Liverpool",26,82
