"","Player","Team","Age","Overall"
"1","Eden Hazard","Chelsea",27,91
"2","Kevin De Bruyne","Manchester City",27,91
"3","David De Gea Quintana","Manchester United",27,91
"4","N'Golo Kanté","Chelsea",27,89
"5","David Josué Jiménez Silva","Manchester City",32,89
"6","Sergio Agüero","Manchester City",30,89
"7","Harry Kane","Tottenham Hotspur",24,89
"8","Mohamed Salah","Liverpool",26,88
"9","Paul Pogba","Manchester United",25,88
"10","Hugo Lloris","Tottenham Hotspur",31,88
"11","Christian Eriksen","Tottenham Hotspur",26,88
"12","Pierre-Emerick Aubameyang","Arsenal",29,87
"13","Alexis Sánchez","Manchester United",29,87
"14","Romelu Lukaku","Manchester United",25,87
"15","Jan Vertonghen","Tottenham Hotspur",31,87
"16","Mesut Özil","Arsenal",29,86
"17","César Azpilicueta Tanco","Chelsea",28,86
"18","Ederson Santana de Moraes","Manchester City",24,86
"19","Sadio Mané","Liverpool",26,86
"20","Roberto Firmino Barbosa de Oliveira","Liverpool",26,86
"21","Nicolás Otamendi","Manchester City",30,86
"22","Fernando Luiz Rosa","Manchester City",33,86
"23","Leroy Sané","Manchester City",22,86
"24","Nemanja Matić","Manchester United",29,86
"25","Alisson Ramses Becker","Liverpool",25,85
"26","Virgil van Dijk","Liverpool",26,85
"27","Fábio Henrique Tavares","Liverpool",24,85
"28","Vincent Kompany","Manchester City",32,85
"29","Raheem Sterling","Manchester City",23,85
"30","Riyad Mahrez","Manchester City",27,85
"31","Toby Alderweireld","Tottenham Hotspur",29,85
"32","Sokratis Papastathopoulos","Arsenal",30,84
"33","Henrikh Mkhitaryan","Arsenal",29,84
"34","Bernd Leno","Arsenal",26,84
"35","Alexandre Lacazette","Arsenal",27,84
"36","Luiz Frello Filho Jorge","Chelsea",26,84
"37","Francesc Fàbregas i Soler","Chelsea",31,84
"38","Willian Borges da Silva","Chelsea",29,84
"39","Kyle Walker","Manchester City",28,84
"40","Bernardo Mota Carvalho e Silva","Manchester City",23,84
"41","İlkay Gündoğan","Manchester City",27,84
"42","Heung Min Son","Tottenham Hotspur",25,84
"43","Kasper Schmeichel","Leicester City",31,84
"44","Davinson Sánchez","Tottenham Hotspur",22,84
"45","Moussa Dembélé","Tottenham Hotspur",30,84
"46","Dele Alli","Tottenham Hotspur",22,84
"47","Kepa Arrizabalaga","Chelsea",23,83
"48","Álvaro Borja Morata Martín","Chelsea",25,83
"49","David Luiz Moreira Marinho","Chelsea",31,83
"50","Mateo Kovačić","Chelsea
Jun 30, ",24,83
"51","Jordan Pickford","Everton",24,83
"52","Naby Keïta","Liverpool",23,83
"53","Aymeric Laporte","Manchester City",24,83
"54","Gabriel Fernando de Jesus","Manchester City",21,83
"55","Anthony Martial","Manchester United",22,83
"56","Juan Manuel Mata García","Manchester United",30,83
"57","Rui Pedro dos Santos Patrício","Wolverhampton Wanderers",30,83
"58","Petr Čech","Arsenal",36,82
"59","Shkodran Mustafi","Arsenal",26,82
"60","Aaron Ramsey","Arsenal",27,82
"61","Laurent Koscielny","Arsenal",32,82
"62","Andreas Christensen","Chelsea",22,82
"63","Marcos Alonso Mendoza","Chelsea",27,82
"64","Pedro Rodríguez Ledesma","Chelsea",30,82
"65","Olivier Giroud","Chelsea",31,82
"66","Idrissa Gueye","Everton",28,82
"67","Jordan Henderson","Liverpool",28,82
"68","Gylfi Sigurðsson","Everton",28,82
"69","Georginio Wijnaldum","Liverpool",27,82
"70","John Stones","Manchester City",24,82
"71","Antonio Valencia","Manchester United",32,82
"72","Jesse Lingard","Manchester United",25,82
"73","Frederico R. de Paula Santos","Manchester United",25,82
"74","Ander Herrera Agüera","Manchester United",28,82
"75","Eric Bailly","Manchester United",24,82
"76","Kieran Trippier","Tottenham Hotspur",27,82
"77","Lucas Rodrigues M. Silva","Tottenham Hotspur",25,82
"78","Jean Michaël Seri","Fulham",26,82
"79","Felipe Anderson Pereira Gomes","West Ham United",25,82
"80","Marko Arnautović","West Ham United",29,82
"81","Harry Maguire","Leicester City",25,82
"82","Jamie Vardy","Leicester City",31,82
"83","Wilfried Zaha","Crystal Palace",25,82
"84","Granit Xhaka","Arsenal",25,81
"85","Antonio Rüdiger","Chelsea",25,81
"86","Gary Cahill","Chelsea",32,81
"87","James Milner","Liverpool",32,81
"88","Joel Matip","Liverpool",26,81
"89","Adam Lallana","Liverpool",30,81
"90","Dejan Lovren","Liverpool",28,81
"91","Andrew Robertson","Liverpool",24,81
"92","Xherdan Shaqiri","Liverpool",26,81
"93","Benjamin Mendy","Manchester City",23,81
"94","Chris Smalling","Manchester United",28,81
"95","Marcus Rashford","Manchester United",20,81
"96","Manuel Lanzini","West Ham United",25,81
"97","Ben Davies","Tottenham Hotspur",25,81
"98","Serge Aurier","Tottenham Hotspur",25,81
"99","Ricardo Barbosa Pereira","Leicester City",24,81
"100","Abdoulaye Doucouré","Watford",25,81
"101","Vicente Iborra de la Fuente","Leicester City",30,81
"102","João Filipe Moutinho","Wolverhampton Wanderers",31,81
"103","Vicente Guaita Panadero","Crystal Palace",31,81
"104","Gerard Deulofeu Lázaro","Watford",24,81
"105","Héctor Bellerín Moruno","Arsenal",23,80
"106","Ignacio Monreal Eraso","Arsenal",32,80
"107","Stephan Lichtsteiner","Arsenal",34,80
"108","Sead Kolašinac","Arsenal",25,80
"109","Cenk Tosun","Everton",27,80
"110","Séamus Coleman","Everton",29,80
"111","Bernard Anício Caldeira Duarte","Everton",25,80
"112","André Filipe Tavares Gomes","Everton
Jun 30, ",24,80
"113","Daniel Sturridge","Liverpool",28,80
"114","Nathaniel Clyne","Liverpool",27,80
"115","Alex Oxlade-Chamberlain","Liverpool",24,80
"116","Sergio Romero","Manchester United",31,80
"117","Fabian Delph","Manchester City",28,80
"118","Phil Jones","Manchester United",26,80
"119","Ashley Young","Manchester United",32,80
"120","Jannik Vestergaard","Southampton",25,80
"121","Marcos Rojo","Manchester United",28,80
"122","Erik Lamela","Tottenham Hotspur",26,80
"123","Łukasz Fabiański","West Ham United",33,80
"124","Wilfred Ndidi","Leicester City",21,80
"125","Eric Dier","Tottenham Hotspur",24,80
"126","Victor Wanyama","Tottenham Hotspur",27,80
"127","Danny Rose","Tottenham Hotspur",27,80
"128","Fabián Balbuena","West Ham United",26,80
"129","Andriy Yarmolenko","West Ham United",28,80
"130","Fabricio Agosto Ramírez","Fulham",30,80
"131","Jack Wilshere","West Ham United",26,80
"132","Sergio Rico González","Fulham
Jun 30, ",24,80
"133","Tom Heaton","Burnley",32,80
"134","Nick Pope","Burnley",26,80
"135","James Tarkowski","Burnley",25,80
"136","Ben Mee","Burnley",28,80
"137","Steven Defour","Burnley",30,80
"138","Mamadou Sakho","Crystal Palace",28,80
"139","Ross Barkley","Chelsea",24,79
"140","Marco van Ginkel","Chelsea",25,79
"141","Davide Zappacosta","Chelsea",26,79
"142","Danny Drinkwater","Chelsea",28,79
"143","Michael Keane","Everton",25,79
"144","Leighton Baines","Everton",33,79
"145","Morgan Schneiderlin","Everton",28,79
"146","Theo Walcott","Everton",29,79
"147","Loris Karius","Liverpool",25,79
"148","Simon Mignolet","Liverpool",30,79
"149","Claudio Bravo","Manchester City",35,79
"150","Danilo Luiz da Silva","Manchester City",26,79
"151","Marouane Fellaini","Manchester United",30,79
"152","Mohamed Elyounoussi","Southampton",23,79
"153","Victor Lindelöf","Manchester United",23,79
"154","Ryan Bertrand","Southampton",28,79
"155","Javier Hernández","West Ham United",30,79
"156","Lucas Pérez Martínez","West Ham United",29,79
"157","Adrien S. Perruchet Silva","Leicester City",29,79
"158","Jack Cork","Burnley",29,79
"159","Max Meyer","Crystal Palace",22,79
"160","Jonathan Castro Otto","Wolverhampton Wanderers
Jun 30, ",24,79
"161","Rúben Diogo da Silva Neves","Wolverhampton Wanderers",21,79
"162","Tom Cairney","Fulham",27,79
"163","Roberto Pereyra","Watford",27,79
"164","Asmir Begović","Bournemouth",31,79
"165","Jóhann Berg Guðmundsson","Burnley",27,79
"166","Luka Milivojević","Crystal Palace",27,79
"167","Aaron Mooy","Huddersfield Town",27,79
"168","Nathan Aké","Bournemouth",23,79
"169","Jefferson Lerma","Bournemouth",23,79
"170","Lucas Torreira","Arsenal",22,78
"171","Mohamed Elneny","Arsenal",25,78
"172","Victor Moses","Chelsea",27,78
